iter	Passed	Remaining
387	1065	1680
388	1067	1677
389	1070	1674
390	1073	1671
391	1076	1669
392	1078	1666
393	1081	1663
394	1083	1660
395	1086	1657
396	1088	1654
397	1091	1651
398	1094	1648
399	1096	1645
400	1099	1642
401	1101	1639
402	1104	1636
403	1107	1633
404	1111	1632
405	1114	1630
406	1116	1627
407	1119	1624
408	1122	1621
409	1124	1618
410	1127	1615
411	1130	1613
412	1133	1610
413	1135	1607
414	1138	1605
415	1141	1602
416	1144	1600
417	1147	1597
418	1150	1594
419	1152	1591
420	1155	1588
421	1157	1585
422	1160	1582
423	1163	1579
424	1165	1577
425	1168	1574
426	1170	1571
427	1173	1568
428	1175	1565
429	1178	1562
430	1181	1559
431	1183	1556
432	1186	1553
433	1189	1551
434	1192	1548
435	1194	1545
436	1197	1542
437	1200	1540
438	1203	1537
439	1206	1535
440	1209	1532
441	1211	1530
442	1214	1527
443	1217	1525
444	1220	1522
445	1223	1519
446	1226	1516
447	1228	1514
448	1231	1511
449	1234	1508
450	1236	1505
451	1239	1503
452	1243	1501
453	1247	1499
454	1249	1497
455	1252	1494
456	1255	1491
457	1258	1488
458	1260	1486
459	1263	1483
460	1266	1480
461	1269	1477
462	1271	1475
463	1274	1472
464	1277	1469
465	1279	1466
466	1282	1463
467	1285	1461
468	1288	1458
469	1291	1456
470	1294	1453
471	1296	1450
472	1299	1448
473	1302	1445
474	1305	1442
475	1307	1439
476	1310	1437
477	1313	1434
478	1316	1431
479	1318	1428
480	1321	1426
481	1324	1423
482	1327	1421
483	1330	1418
484	1333	1416
485	1336	1413
486	1339	1411
487	1342	1408
488	1345	1405
489	1348	1403
490	1351	1400
491	1353	1397
492	1356	1395
493	1359	1392
494	1361	1389
495	1364	1386
496	1367	1383
497	1369	1380
498	1372	1378
499	1375	1375
500	1379	1373
501	1382	1371
502	1385	1369
503	1388	1366
504	1391	1363
505	1394	1360
506	1396	1358
507	1399	1355
508	1402	1352
509	1405	1350
510	1408	1347
511	1410	1344
512	1413	1342
513	1416	1339
514	1419	1336
515	1422	1334
516	1425	1331
517	1428	1329
518	1431	1326
519	1434	1323
520	1437	1321
521	1440	1319
522	1443	1316
523	1446	1313
524	1449	1311
525	1453	1309
526	1456	1307
527	1459	1304
528	1462	1301
529	1464	1299
530	1467	1296
531	1470	1293
532	1473	1291
533	1476	1288
534	1478	1285
535	1481	1282
536	1484	1279
537	1486	1276
538	1489	1274
539	1492	1271
540	1495	1268
541	1497	1265
542	1500	1262
543	1503	1260
544	1505	1257
545	1509	1254
546	1513	1253
547	1516	1250
548	1519	1248
549	1521	1245
550	1524	1242
551	1527	1239
552	1530	1236
553	1532	1234
554	1535	1231
555	1538	1228
556	1540	1225
557	1543	1222
558	1546	1219
559	1548	1217
560	1551	1214
561	1554	1211
562	1557	1208
563	1559	1205
564	1562	1203
565	1565	1200
566	1568	1197
567	1571	1195
568	1574	1192
569	1577	1189
570	1579	1187
571	1582	1184
572	1586	1182
573	1590	1180
574	1594	1178
575	1598	1176
576	1601	1174
577	1605	1171
578	1607	1169
579	1610	1166
580	1613	1163
581	1617	1161
582	1619	1158
583	1622	1155
584	1625	1153
585	1629	1150
586	1632	1148
587	1635	1145
588	1638	1143
589	1640	1140
590	1644	1137
591	1647	1135
592	1652	1134
593	1655	1131
594	1658	1129
595	1661	1126
596	1664	1123
597	1667	1121
598	1670	1118
599	1673	1115
600	1676	1113
601	1679	1110
602	1682	1107
603	1685	1105
604	1688	1102
605	1691	1099
606	1694	1096
607	1697	1094
608	1700	1091
609	1702	1088
610	1705	1085
611	1708	1083
612	1711	1080
613	1714	1078
614	1718	1075
615	1721	1072
616	1723	1070
617	1726	1067
618	1729	1064
619	1732	1061
620	1735	1058
621	1738	1056
622	1740	1053
623	1744	1050
624	1747	1048
625	1750	1045
626	1752	1042
627	1755	1040
628	1758	1037
629	1761	1034
630	1764	1031
631	1766	1028
632	1769	1026
633	1772	1023
634	1775	1020
635	1778	1018
636	1783	1016
637	1785	1013
638	1788	1010
639	1792	1008
640	1795	1005
641	1798	1002
642	1800	999
643	1803	997
644	1806	994
645	1809	991
646	1812	988
647	1814	985
648	1817	983
649	1820	980
650	1823	977
651	1826	974
652	1829	971
653	1831	969
654	1834	966
655	1837	963
656	1840	960
657	1843	958
658	1846	955
659	1849	952
660	1851	949
661	1854	946
662	1857	944
663	1860	941
664	1862	938
665	1865	935
666	1868	932
667	1871	929
668	1873	927
669	1876	924
670	1879	921
671	1881	918
672	1884	915
673	1887	912
674	1890	910
675	1892	907
676	1895	904
677	1898	901
678	1901	898
679	1903	895
680	1906	893
681	1909	890
682	1913	887
683	1917	885
684	1919	882
685	1922	880
686	1925	877
687	1929	874
688	1932	872
689	1936	870
690	1940	867
691	1945	865
692	1948	863
693	1952	861
694	1956	858
695	1960	856
696	1964	853
697	1968	851
698	1972	849
699	1976	847
700	1979	844
701	1983	841
702	1987	839
703	1991	837
704	1995	834
705	1999	832
706	2003	830
707	2006	827
708	2010	825
709	2014	822
710	2018	820
711	2021	817
712	2024	814
713	2027	812
714	2031	809
715	2035	807
716	2038	804
717	2042	802
718	2046	799
719	2049	797
720	2053	794
721	2057	792
722	2060	789
723	2063	786
724	2066	783
725	2069	781
726	2072	778
727	2075	775
728	2078	772
729	2081	769
730	2084	767
731	2087	764
732	2090	761
733	2092	758
734	2095	755
735	2098	752
736	2101	749
737	2104	746
738	2106	744
739	2109	741
740	2112	738
741	2115	735
742	2118	732
743	2121	729
744	2123	726
745	2126	724
746	2129	721
747	2132	718
748	2134	715
749	2137	712
750	2140	709
751	2143	706
752	2145	703
753	2148	700
754	2151	698
755	2154	695
756	2157	692
757	2159	689
758	2162	686
759	2165	683
760	2168	681
761	2171	678
762	2174	675
763	2176	672
764	2179	669
765	2183	666
766	2186	664
767	2190	661
768	2193	658
769	2196	656
770	2200	653
771	2204	651
772	2207	648
773	2210	645
774	2213	642
775	2216	639
776	2219	637
777	2222	634
778	2225	631
779	2227	628
780	2230	625
781	2233	622
782	2236	619
783	2239	616
784	2241	613
785	2244	611
786	2247	608
787	2249	605
788	2252	602
789	2255	599
790	2257	596
791	2260	593
792	2263	590
793	2266	587
794	2268	585
795	2271	582
796	2274	579
797	2276	576
798	2279	573
799	2282	570
800	2285	567
801	2287	564
802	2290	561
803	2293	559
804	2296	556
805	2299	553
806	2301	550
807	2304	547
808	2307	544
809	2309	541
810	2312	538
811	2315	536
812	2318	533
813	2321	530
814	2324	527
815	2326	524
816	2330	521
817	2333	519
818	2338	516
819	2341	514
820	2344	511
821	2350	508
822	2353	506
823	2356	503
824	2359	500
825	2362	497
826	2364	494
827	2367	491
828	2370	488
829	2373	486
830	2375	483
831	2378	480
832	2381	477
833	2383	474
834	2386	471
835	2389	468
836	2392	465
837	2394	462
838	2397	460
839	2400	457
840	2402	454
841	2406	451
842	2408	448
843	2412	445
844	2414	442
845	2417	440
846	2420	437
847	2422	434
848	2425	431
849	2428	428
850	2431	425
851	2433	422
852	2436	419
853	2439	417
854	2442	414
855	2444	411
856	2447	408
857	2450	405
858	2453	402
859	2456	399
860	2458	396
861	2461	394
862	2464	391
863	2468	388
864	2471	385
865	2474	382
866	2477	380
867	2480	377
868	2482	374
869	2485	371
870	2488	368
871	2490	365
872	2493	362
873	2496	359
874	2498	356
875	2501	354
876	2504	351
877	2506	348
878	2509	345
879	2512	342
880	2515	339
881	2518	336
882	2521	334
883	2523	331
884	2526	328
885	2529	325
886	2531	322
887	2534	319
888	2537	316
889	2540	313
890	2542	311
891	2545	308
892	2548	305
893	2551	302
894	2553	299
895	2556	296
896	2558	293
897	2561	290
898	2564	288
899	2567	285
900	2569	282
901	2572	279
902	2575	276
903	2577	273
904	2580	270
905	2583	268
906	2586	265
907	2588	262
908	2591	259
909	2594	256
910	2597	253
911	2600	250
912	2602	248
913	2605	245
914	2608	242
915	2611	239
916	2614	236
917	2619	233
918	2622	231
919	2625	228
920	2627	225
921	2630	222
922	2633	219
923	2636	216
924	2638	213
925	2641	211
926	2644	208
927	2646	205
928	2649	202
929	2652	199
930	2654	196
931	2657	193
932	2660	191
933	2663	188
934	2665	185
935	2668	182
936	2671	179
937	2673	176
938	2676	173
939	2679	171
940	2682	168
941	2684	165
942	2687	162
943	2690	159
944	2692	156
945	2695	153
946	2698	151
947	2701	148
948	2703	145
949	2706	142
950	2708	139
951	2711	136
952	2714	133
953	2717	131
954	2720	128
955	2723	125
956	2726	122
957	2728	119
958	2731	116
959	2734	113
960	2737	111
961	2739	108
962	2742	105
963	2745	102
964	2748	99
965	2753	96
966	2756	94
967	2758	91
968	2761	88
969	2764	85
970	2767	82
971	2770	79
972	2772	76
973	2775	74
974	2778	71
975	2781	68
976	2783	65
977	2786	62
978	2789	59
979	2792	56
980	2794	54
981	2797	51
982	2800	48
983	2802	45
984	2805	42
985	2808	39
986	2811	37
987	2814	34
988	2817	31
989	2820	28
990	2823	25
991	2825	22
992	2828	19
993	2831	17
994	2833	14
995	2836	11
996	2839	8
997	2843	5
998	2845	2
999	2848	0
