iter	RMSE
0	226.5423369
1	215.745624
2	205.5471595
3	195.7915101
4	186.6695939
5	177.877334
6	169.6638642
7	161.6493991
8	154.2774365
9	147.2287728
10	140.2877401
11	133.7083209
12	127.4922174
13	121.508451
14	116.0468266
15	110.7095055
16	105.5854746
17	100.9542514
18	96.22908135
19	91.82207177
20	87.51976147
21	83.62095177
22	79.77428413
23	76.0773974
24	72.56855523
25	69.27928421
26	66.12081971
27	63.12065402
28	60.27099528
29	57.5950457
30	55.01192155
31	52.5409887
32	50.19094612
33	47.92005252
34	45.83691358
35	43.81487069
36	41.88044623
37	40.01960468
38	38.28974179
39	36.60105564
40	35.00908613
41	33.50567124
42	32.10530652
43	30.75871149
44	29.53883227
45	28.27744334
46	27.13161537
47	26.06312294
48	24.96322017
49	23.96163841
50	22.99846256
51	22.08233214
52	21.22098799
53	20.36987698
54	19.5966695
55	18.86067703
56	18.15938892
57	17.48269438
58	16.84781593
59	16.24798955
60	15.69449193
61	15.15533451
62	14.64465773
63	14.16535251
64	13.71947322
65	13.29464317
66	12.87943393
67	12.48468059
68	12.12139422
69	11.77521298
70	11.44765097
71	11.14925611
72	10.85807056
73	10.59768237
74	10.34277154
75	10.10489169
76	9.887561408
77	9.672027061
78	9.481809881
79	9.297634447
80	9.124672946
81	8.966388607
82	8.823600737
83	8.671700075
84	8.537678901
85	8.40036545
86	8.271917283
87	8.160500096
88	8.045254558
89	7.940048426
90	7.827883369
91	7.73405141
92	7.653050382
93	7.575055824
94	7.489450946
95	7.417440166
96	7.353740648
97	7.273630383
98	7.207159048
99	7.144000724
100	7.079430758
101	7.012119353
102	6.956071887
103	6.896528161
104	6.856478273
105	6.807421957
106	6.763538979
107	6.712115902
108	6.662692735
109	6.620808219
110	6.579982886
111	6.544825415
112	6.498299403
113	6.463365376
114	6.426071324
115	6.375476712
116	6.345131058
117	6.309727622
118	6.284223066
119	6.238391899
120	6.201506715
121	6.16245315
122	6.125377445
123	6.106114446
124	6.075190379
125	6.044385859
126	6.008453613
127	5.972354585
128	5.949644879
129	5.927601901
130	5.895230389
131	5.8822904
132	5.845673265
133	5.815232402
134	5.800069728
135	5.784610842
136	5.762440594
137	5.745990313
138	5.725266871
139	5.703216363
140	5.673300315
141	5.658853633
142	5.63983679
143	5.61615579
144	5.598269684
145	5.578406532
146	5.553305905
147	5.537595369
148	5.52526413
149	5.511716221
150	5.479050343
151	5.460074356
152	5.443288513
153	5.420575608
154	5.384025098
155	5.368207156
156	5.348461188
157	5.34124752
158	5.321344162
159	5.309423916
160	5.286929068
161	5.271839344
162	5.237425788
163	5.22193701
164	5.193670314
165	5.180897955
166	5.16218667
167	5.147377762
168	5.130842444
169	5.122545539
170	5.104737999
171	5.090639175
172	5.078634613
173	5.065772047
174	5.054879229
175	5.043608775
176	5.020433898
177	5.000952772
178	4.980863514
179	4.957292781
180	4.938847548
181	4.915721573
182	4.901520511
183	4.880610316
184	4.866275175
185	4.839398912
186	4.824370306
187	4.809863222
188	4.792006549
189	4.770968382
190	4.758623621
191	4.748680192
192	4.732904393
193	4.715300848
194	4.693338786
195	4.680817445
196	4.672217033
197	4.661456677
198	4.642921449
199	4.624827617
200	4.613172085
201	4.595970765
202	4.586338749
203	4.572308639
204	4.556827094
205	4.548419951
206	4.533839931
207	4.521556915
208	4.505749975
209	4.491269884
210	4.477693411
211	4.465280514
212	4.446576617
213	4.438838332
214	4.426319307
215	4.412647999
216	4.402823902
217	4.39617483
218	4.388391353
219	4.378446118
220	4.368137435
221	4.358026943
222	4.351266503
223	4.334432294
224	4.328556211
225	4.321593793
226	4.306742938
227	4.291805975
228	4.281505781
229	4.272447146
230	4.259483031
231	4.245433062
232	4.235060311
233	4.226979105
234	4.213965904
235	4.205053137
236	4.195611832
237	4.186711559
238	4.174470819
239	4.169065642
240	4.159857029
241	4.149074789
242	4.141292183
243	4.132591082
244	4.125262866
245	4.11942209
246	4.112531863
247	4.104021543
248	4.098823415
249	4.090645312
250	4.078561362
251	4.063379632
252	4.049896797
253	4.03617116
254	4.023384523
255	4.014970775
256	4.003228679
257	3.991945339
258	3.985659267
259	3.976005883
